회차,추첨일,1,2,3,4,5,6,보너스,sum,odd_count,even_count,high_count,low_count,consecutive_count,prime_count
1177,2025.06.21,3,7,15,16,19,43,21,103,5,1,1,5,1,4
1176,2025.06.14,7,9,11,21,30,35,29,113,5,1,2,4,0,2
1175,2025.06.07,3,4,6,8,32,42,31,95,1,5,2,4,1,1
1174,2025.05.31,8,11,14,17,36,39,22,125,3,3,2,4,0,2
1173,2025.05.24,1,5,18,20,30,35,3,109,3,3,2,4,0,1
1172,2025.05.17,7,9,24,40,42,44,45,166,2,4,4,2,0,1
1171,2025.05.10,3,6,7,11,12,17,19,56,4,2,0,6,2,4
1170,2025.05.03,3,13,28,34,38,42,25,158,2,4,4,2,0,2
1169,2025.04.26,5,12,24,26,39,42,20,148,2,4,4,2,0,1
1168,2025.04.19,9,21,24,30,33,37,29,154,4,2,4,2,0,1
1167,2025.04.12,8,23,31,35,39,40,24,176,4,2,5,1,1,2
1166,2025.04.05,14,23,25,27,29,42,16,160,4,2,5,1,0,2
1165,2025.03.29,6,7,27,29,38,45,17,152,4,2,4,2,1,2
1164,2025.03.22,17,18,23,25,38,39,22,160,4,2,4,2,2,2
1163,2025.03.15,2,3,15,16,33,43,4,112,4,2,2,4,2,3
1162,2025.03.08,20,21,22,25,28,29,6,145,3,3,3,3,3,1
1161,2025.03.01,2,12,20,24,34,42,37,134,0,6,3,3,0,1
1160,2025.02.22,7,13,18,36,39,45,19,158,4,2,3,3,0,2
1159,2025.02.15,3,9,27,28,38,39,7,144,4,2,4,2,2,1
1158,2025.02.08,21,25,27,32,37,38,20,180,4,2,5,1,1,1
1157,2025.02.01,5,7,12,20,25,26,28,95,3,3,2,4,1,2
1156,2025.01.25,30,31,34,39,41,45,7,220,4,2,6,0,1,2
1155,2025.01.18,10,16,19,27,37,38,13,147,3,3,3,3,1,2
1154,2025.01.11,4,8,22,26,32,38,27,130,0,6,3,3,0,0
1153,2025.01.04,1,9,10,13,35,44,5,112,4,2,2,4,1,1
1152,2024.12.28,30,31,32,35,36,37,5,201,3,3,6,0,4,2
1151,2024.12.21,2,3,9,15,27,29,8,85,5,1,2,4,1,3
1150,2024.12.14,8,9,18,35,39,45,25,154,4,2,3,3,1,0
1149,2024.12.07,8,15,19,21,32,36,38,131,3,3,2,4,0,1
1148,2024.11.30,3,6,13,15,16,22,32,75,3,3,0,6,1,2
1147,2024.11.23,7,11,24,26,27,37,32,132,4,2,4,2,1,3
1146,2024.11.16,6,11,17,19,40,43,28,136,4,2,2,4,0,4
1145,2024.11.09,2,11,31,33,37,44,32,158,4,2,4,2,0,4
1144,2024.11.02,3,4,12,15,26,34,6,94,2,4,2,4,1,1
1143,2024.10.26,10,16,17,27,28,36,6,134,2,4,3,3,2,1
1142,2024.10.19,2,8,28,30,37,41,22,146,2,4,4,2,0,3
1141,2024.10.12,7,11,12,21,26,35,20,112,4,2,2,4,1,2
1140,2024.10.05,7,10,22,29,31,38,15,137,3,3,3,3,0,3
1139,2024.09.28,5,12,15,30,37,40,18,139,3,3,3,3,0,2
1138,2024.09.21,14,16,19,20,29,34,35,132,2,4,2,4,1,2
1137,2024.09.14,4,9,12,15,33,45,26,118,4,2,2,4,0,0
1136,2024.09.07,21,33,35,38,42,44,1,213,3,3,5,1,0,0
1135,2024.08.31,1,6,13,19,21,33,4,93,5,1,1,5,0,2
1134,2024.08.24,3,7,9,13,19,24,23,75,5,1,1,5,0,4
1133,2024.08.17,13,14,20,28,29,34,23,138,2,4,3,3,2,2
1132,2024.08.10,6,7,19,28,34,41,5,135,3,3,3,3,1,3
1131,2024.08.03,1,2,6,14,27,38,33,88,2,4,2,4,1,1
1130,2024.07.27,15,19,21,25,27,28,40,135,5,1,3,3,1,1
1129,2024.07.20,5,10,11,17,28,34,22,105,3,3,2,4,1,3
1128,2024.07.13,1,5,8,16,28,33,45,91,3,3,2,4,0,1
1127,2024.07.06,10,15,24,30,31,37,32,147,3,3,4,2,1,2
1126,2024.06.29,4,5,9,11,37,40,7,106,4,2,2,4,1,3
1125,2024.06.22,6,14,25,33,40,44,30,162,2,4,4,2,0,0
1124,2024.06.15,3,8,17,30,33,34,28,125,3,3,3,3,1,2
